course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,prerequisites,restrictions,title
ELEC 007,007,Research,,0,ELEC,Electrical & Computer Eng.,Research conducted by visiting student scholars. Instructor Permission Required. Repeatable for Credit.,,Satisfactory/Unsatisfactory,Taught in English,VISITING RESEARCH,,,VISITING RESEARCH
ELEC 220,220,Lecture/Laboratory,http://www.owlnet.rice.edu/~elec220,3,ELEC,Electrical & Computer Eng.,"An overview of computer engineering, starting with fundamental building blocks including transistors, bits, data representation, logic and state machines, progressing to computer organization, instruction sets, interrupts, input/output, assembly language programming, and linkage conventions, and ending with an introduction to architectural performance enhancements and computing services.",Distribution Group III,Standard Letter,Taught in English,FUNDAMENTALS OF COMPUTER ENGINEERING,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUND COMPUTER ENGINEERING
ELEC 238,238,"Independent Study, Internship/Practicum, Laboratory, Lecture, Seminar",,1 TO 4,ELEC,Electrical & Computer Eng.,Repeatable for Credit.,,Standard Letter,Taught in English,SPECIAL TOPICS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
ELEC 240,240,Laboratory,,1,ELEC,Electrical & Computer Eng.,Laboratory course that introduces basic electronic measurement techniques and demonstrates the principles of information management by electronic means. Lectures supplement the laboratory experiments.,,Standard Letter,Taught in English,FUNDAMENTALS OF ELECTRICAL ENGINEERING I LABORATORY,(MATH 101 OR MATH 105) AND (MATH 102 OR MATH 106),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUND EE I LAB
ELEC 241,241,Lecture,,3,ELEC,Electrical & Computer Eng.,"The creation, manipulation, transmission, and extraction of information by electronic and computational means. Elementary signal theory; time and frequency-domain analysis; sampling theorem. Introduction to data science. Information theory; digital communication systems; error-correcting codes.",,Standard Letter,Taught in English,FUNDAMENTALS OF ELECTRICAL ENGINEERING I,(MATH 101 OR MATH 105) AND (MATH 102 OR MATH 106),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUND ELECTRICAL ENGINEERING I
ELEC 242,242,Lecture,,3,ELEC,Electrical & Computer Eng.,"Transforms between the time and frequency domains. Linear time-invariant systems: convolutions, impulse response, and eigenfunctions. Delta functions, their nature, and their uses. Fourier series and the Fourier transform for continuous signals. Fourier transform for discrete-time signals. Sampling and aliasing. Laplace transform: poles and zeros, and system stability. Students must register for both ELEC 242 and ELEC 244.",,Standard Letter,Taught in English,"SIGNALS, SYSTEMS, AND TRANSFORMS",ELEC 241,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"SIGNALS, SYSTEMS, & TRANSFORMS"
ELEC 243,243,Lecture/Laboratory,,4,ELEC,Electrical & Computer Eng.,"The course will give students the skills to design, construct, and assess electronic systems to measure, monitor, and control physical properties and events; spans the areas of circuits, signals, systems, and digital processing. Intended for non-ECE majors.",Distribution Group III,Standard Letter,Taught in English,ELECTRONIC MEASUREMENT SYSTEMS,(MATH 101 OR MATH 105) AND (MATH 102 OR MATH 106) AND (PHYS 102 OR PHYS 112 OR PHYS 126),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ELECTRONIC MEASUREMENT SYSTEMS
ELEC 244,244,Laboratory,,1,ELEC,Electrical & Computer Eng.,"Lab skills covered including breadboarding, use of oscilloscopes, and circuit debugging. Topics covered include design, construction, and testing of basic electronic circuits; RLC networks; diodes; transistors; operational amplifiers; comparators; interfacing digital and analog circuits; pulse width modulation; motors; and feedback control. Students must register for both ELEC 242 and ELEC 244.",,Standard Letter,Taught in English,ANALOG CIRCUITS LABORATORY,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate Corequisite: ELEC 242,ANALOG CIRCUITS LABORATORY
ELEC 261,261,Lecture,,3,ELEC,Electrical & Computer Eng.,"The objective of this course is an understanding of the physics and operation of semiconductor de-vices. The first part of 261 is focused on understanding of semiconductor materials in terms of crystal structure, energy bands, density of states, dopants, and electronic transport, and finally the basics of pn junctions and pn junction diodes. The second part of 261 is focused on understanding the operation and design of semiconductor devices including metal-semiconductor contacts, metal-oxide semi-conductor capacitors and transistors (MOSFETs), and bipolar junction transistors (BJTs). In addition, 261 will also introduce the basic concepts of advanced devices such as junction field effect transistors, optical devices, microwave and power devices. ELEC 261 will lay the foundation for follow-on PEN and circuits courses such as ELEC 305.",,Standard Letter,Taught in English,INTRODUCTION TO PHYSICAL ELECTRONICS I,(MATH 102 OR MATH 106) AND (PHYS 102 OR PHYS 112),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO PHYSICAL ELECTRONICS I
ELEC 262,262,Lecture,,3,ELEC,Electrical & Computer Eng.,"Introduction to the concepts of waves and oscillatory motion with a particular focus on electromagnetic waves and their interaction with dielectric materials, and on the use of these ideas in the fields of optical fiber communications, laser design, non-linear optics and Fourier optics. Introduction to photons as carriers of electromagnetic energy with related examples of quantum phenomena.",Distribution Group III,Standard Letter,Taught in English,INTRODUCTION TO WAVES AND PHOTONICS,(PHYS 101 OR PHYS 111 OR PHYS 125 OR PHYS 141) AND (PHYS 102 OR PHYS 112 OR PHYS 126 OR PHYS 142),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO WAVES AND PHOTONICS
