course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,prerequisites,restrictions,title
COMP 002,002,Lecture/Laboratory,,3 OR 4,COMP,Computer Science,"DSCI 002 / COMP 002 IS A PLACEHOLDER FOR DSCI 400 / DSCI 435 / COMP 449 / DSCI 535 / COMP 549. To register for DSCI 400 / DSCI 435 / COMP 449 / DSCI 535 / COMP 549, you must add DSCI 002 / COMP 002 to your schedule. You will need to then complete an application for entrance into DSCI 400 / DSCI 435 / COMP 449 / DSCI 535 / COMP 549; placement is contingent upon experience and curricular need.  Prior to the end of the second week of classes, you will be required to register for the correct version of DSCI 400 / DSCI 435 / COMP 449 / DSCI 535 / COMP 549 and drop DSCI 002 / COMP 002 from your schedule if you are placed into a section.",,Standard Letter,Taught in English,APPLIED MACHINE LEARNING AND DATA SCIENCE PROJECTS APPLICATION,,,DATA SCIENCE PROJ APPLICATION
COMP 007,007,Research,,0,COMP,Computer Science,Research conducted by a visiting student scholars. Department Permission Required. Repeatable for Credit.,,Satisfactory/Unsatisfactory,Taught in English,VISITING RESEARCH,,,VISITING RESEARCH
COMP 105,105,Transfer,,3,COMP,Computer Science,"This course provides credit for students who have successfully completed approved examinations, such as Advanced Placement exams. This credit counts toward the total credit hours required for graduation.",,Transfer Courses,Taught in English,AP/OTH CREDIT COMPUTER SCIENCE,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AP/OTH CREDIT COMPUTER SCIENCE
COMP 140,140,Lecture/Laboratory,http://www.clear.rice.edu/comp140,4,COMP,Computer Science,"An introduction to computational problem solving designed to give an overview of computer science using real-world problems across a broad range of disciplines. Students learn how to think about these problems and how to structure effective solutions to them using computation. No programming knowledge is required or expected; students learn how to implement their solutions in Python.  If you register for fully online section, you must have a webcam and you must take the exams in person.",Distribution Group III,Standard Letter,Taught in English,COMPUTATIONAL THINKING,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPUTATIONAL THINKING
COMP 160,160,Lecture/Laboratory,http://www.clear.rice.edu/comp160/,4,COMP,Computer Science,This class covers the basics of Python Programming with a focus on building simple games in a web-based environment. The class includes an introduction to event-driven programming and trains the students in the specifics of a Python GUI system designed to support creating to support creating applications that run in a web browser. This course is limited to first-year students only. Continuing Students may register with an approved Special Registration Form.  Recommended Prerequisite(s): Java Experience.,Distribution Group III,Standard Letter,Taught in English,INTRODUCTION TO GAME PROGRAMMING IN PYTHON,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduateMay not be enrolled in one of the following Class(es): SeniorJunior,INTRO TO GAME PROG IN PYTHON
COMP 162,162,Lecture/Laboratory,http://www.owlnet.rice.edu/~comp162,3,COMP,Computer Science,"Explore how modern game content is created, and how it interacts with the underlying technology. Beginning with an explanation of how games are developed and what role content plays in the process, the class will learn to use 3D Studio Max, Photoshop, and game-native scripting as they create working content for an established game project.",,Standard Letter,Taught in English,INTRODUCTION TO GAME CONTENT CREATION,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO GAME CONTENT CREATION
COMP 181,181,Seminar,,1,COMP,Computer Science,"This course is aimed to provide additional preparation for students who are intending to take COMP 182 in the following semester. It will cover foundational topics in mathematical notation, logic, and proof writing. It should not be taken if student already has credit for COMP 182. Instructor Permission Required. Mutually Exclusive: Cannot register for COMP 181 if student has credit for MATH 290.",,Standard Letter,Taught in English,INTRODUCTION TO PROOF WRITING,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRODUCTION TO PROOF WRITING
COMP 182,182,Lecture/Laboratory,,4,COMP,Computer Science,"Algorithms are the engines of a great majority of systems, natural and artificial alike. This course introduces algorithmic thinking as a discipline for reasoning about systems, taming their complexities, and elucidating their properties. Algorithmic techniques, along with their correctness and efficiency, will be taught through reasoning about systems of interactions, such as markets, that are ubiquitous in our highly connected world.",Distribution Group III,Standard Letter,Taught in English,ALGORITHMIC THINKING,COMP 140,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ALGORITHMIC THINKING
COMP 215,215,Lecture/Laboratory,,4,COMP,Computer Science,"This course covers the principles of programming and program design. The course is organized around a number of individual programming assignments that fit together to complete a significant, real-world application. Each assignment emphasizes one or more of the basic principles of software design, including: encapsulation, abstraction, test-driven development, and functional and object-oriented programming. The Java programming language will be used. An introduction to the basics of the Java language itself (including Java syntax and semantics) will be provided.",,Standard Letter,Taught in English,INTRODUCTION TO PROGRAM DESIGN,COMP 182,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRODUCTION TO PROGRAM DESIGN
COMP 222,222,Lecture/Laboratory,,4,COMP,Computer Science,"This course introduces students to the organization of computer systems in order that they gain an understanding of how a computer system executes their programs. Students will learn how to write small-scale programs in C, how to read the translation of those programs into assembly language, and how those programs are executed at the machine level. Specific topics covered will include data representation at the machine level, static versus dynamic memory allocation, instruction set architecture and the encoding of instructions in memory, linking relocatable object files to create executable files, pipelining within the processor, and caching within the memory system.",,Standard Letter,Taught in English,INTRODUCTION TO COMPUTER ORGANIZATION,COMP 140,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMPUTER ORGANIZATION
