course_code,course_number,course_type,credit_hours,department,department_name,description,grade_mode,language,long_title,restrictions,title
AFSC 101,101,Lecture/Laboratory,2,AFSC,Air Force Science,"Overall roles and missions of the USAF; career fields available.  Emphasis on military customs and courtesies, appearance standards, core values, written and personal communications.  Introduction to American military history. Course taught on the University of Houston. This course includes a lab.",Standard Letter,Taught in English,FOUNDATION OF THE USAF I,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FOUNDATION OF THE USAF I
AFSC 102,102,Lecture/Laboratory,2,AFSC,Air Force Science,Continuation of AFSC 101.  Course taught at the University of Houston.,Standard Letter,Taught in English,FOUNDATION OF THE USAF II,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FOUNDATION OF THE USAF II
AFSC 201,201,Lecture/Laboratory,2,AFSC,Air Force Science,Key historical events and milestones in the development of air power as a primary instrument of United States national security.  Core values and competencies of leaders in the United States Air Force.  Tenets of leadership and ethics. Course taught on the University of Houston campus.  This course also includes a lab.,Standard Letter,Taught in English,EVOLUTION OF AIR POWER I,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,EVOLUTION OF AIR POWER I
AFSC 202,202,Lecture/Laboratory,2,AFSC,Air Force Science,Continuation of AFSC 201.  Course taught at the University of Houston.,Standard Letter,Taught in English,EVOLUTION OF AIR POWER II,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,EVOLUTION OF AIR POWER II
AFSC 238,238,"Internship/Practicum, Laboratory, Lecture, Seminar",1 TO 4,AFSC,Air Force Science,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
AFSC 301,301,Lecture/Laboratory,3,AFSC,Air Force Science,"Leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics.  Case studies of Air Force leadership and management situations. Course taught on the University of Houston campus in Garrison Gymnasium, Room 116.  This course includes a lab, taught on Wednesday from 2:30pm-4:30pm.",Standard Letter,Taught in English,AIR FORCE LEADERSHIP STUDY I,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AIR FORCE LEADERSHIP STUDY I
AFSC 302,302,Seminar,3,AFSC,Air Force Science,Continuation of AFSC 301.,Standard Letter,Taught in English,AIR FORCE LEADERSHIP STUDY II,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AIR FORCE LEADERSHIP STUDY II
AFSC 381,381,Lecture/Laboratory,8,AFSC,Air Force Science,No military obligation is associated with this course. Four-week off-campus field training practicum.  Introduces students to Air Force leadership.  Places students in demanding and stressful leadership positions. Course taught at military base. Department Permission Required.,Standard Letter,Taught in English,FIELD TRAINING,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FIELD TRAINING
AFSC 401,401,Lecture/Laboratory,3,AFSC,Air Force Science,"Evolution of the role of national security in a democratic society with emphasis on policy formation, competing values, and organization.  Civilian control of the military, roles of the services; functions of the Air Force Commands. Course taught on the University of Houston campus.  This course includes a lab.",Standard Letter,Taught in English,NATIONAL SECURITY AFFAIRS I,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,NATIONAL SECURITY AFFAIRS I
AFSC 402,402,Lecture/Laboratory,3,AFSC,Air Force Science,Continuation of AFSC 401.  Course taught at the University of Houston.,Standard Letter,Taught in English,NATIONAL SECURITY AFFAIRS II,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,NATIONAL SECURITY AFFAIRS II
AFSC 477,477,"Internship/Practicum, Laboratory, Lecture, Seminar",1 TO 4,AFSC,Air Force Science,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
