course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,restrictions,title
AAAS 110,110,Lecture,,3,AAAS,African & African Amer Studies,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas. Cross-list: RELI 111.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN RELIGIONS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO AFRICAN RELIGIONS
AAAS 157,157,Lecture,,3,AAAS,African & African Amer Studies,"Hip Hop culture has changed how life is discussed and conducted. However, one of the under-explored dimensions of Hip Hop culture involves its religious sensibilities. Using lectures, discussions, films, and video presentations, this course explores Hip Hop culture's religious dimensions through its musical language-rap music. Cross-list: RELI 157, Equivalency: RELI 157, RELI 311. Mutually Exclusive: Cannot register for AAAS 157 if student has credit for RELI 311.",Distribution Group I,Standard Letter,Taught in English,RELIGION AND HIP HOP CULTURE IN AMERICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RELIGION AND HIP HOP
AAAS 200,200,Lecture,,3,AAAS,African & African Amer Studies,"An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require.",Distribution Group I,Standard Letter,Taught in English,KNOWING BLACKNESS: INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO AAAS
AAAS 204,204,Lecture,,3,AAAS,African & African Amer Studies,"This class examines the history of Black art in America since the early 1900s. What is Black Art? Who are the artists, curators, scholars, and theorists who have asked and answered this question over the decades? Is a Black aesthetic inherently revolutionary and interested in the political lives of black people and their liberation? Or is a Black aesthetic best exemplified by the manipulation of materials, visual composition, and saturation? Or both? We will engage theories of black art and aesthetics that emerged in the 1920s through today to take seriously the question: how does the visual life of blackness matter? In this class we will break through the traditional rhetoric of diversity and representation and discuss how artists over the decades have insisted instead on redistributions of power, radical and speculative material practices, and structural change. It is my priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities. Cross-list: HART 204.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO BLACK ART IN AMERICA: 1900S TO TODAY,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK ART IN AMERICA
AAAS 210,210,Lecture,,3,AAAS,African & African Amer Studies,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN RELIGIONS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO AFRICAN RELIGIONS
AAAS 211,211,Lecture,,3,AAAS,African & African Amer Studies,"This course introduces students to the modern art of Africa, drawing attention to its variants in the continent’s different local and regional geographies. Defined by art historian Clement Emeka Akpang (2016) as the intersection of art with political and social concerns, the era of modernism marked a phase of great experimentation in art characterised by the introduction of new ideas, new media, and a shift in the materiality and many other aspects of art. As such, African artists were part of it, yet as Partha Mitter (2008) argues, the discourse of modernism, is an ‘unmarked case’ that implicitly stands for ‘Western’ modernism. In the course, students will cover different aspects of African modernism discourses drawing from literature and artworks from at least each of the continent’s major regions. The main objective is to gain insights into Africa’s contribution to global art. Besides the few celebrated African modernists known in the West, by the end of the course students will have amassed considerable knowledge of more artists ‘on the other side of modernity’ as these will be highlighted throughout the course. Cross-list: HART 211.",Distribution Group I,Standard Letter,Taught in English,AFRICAN MODERNISM,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AFRICAN MODERNISM
AAAS 217,217,Seminar,,3,AAAS,African & African Amer Studies,"This course explores the intersections of religion, politics, and social justice during the period of history marked by the emergence and activities of the Black Lives Matter Movement. Cross-list: RELI 216.",Distribution Group I,Standard Letter,Taught in English,RELIGION AND BLACK LIVES MATTER,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RELIGION & BLACK LIVES MATTER
AAAS 223,223,Lecture,,3,AAAS,African & African Amer Studies,"This course explores how slavery, anti-colonial, anti-imperial, anti-racism, and anti-capitalist struggles had a profound impact on Africa and the world. These seismic conflicts resulted in significant psychological, spiritual, and physical traumas that are still keenly felt in Africa today. In this course, students will get a sample of some of these traumas that Africans encountered and the ideological painkillers they concocted to address them. Thus, students will become familiar with systems, ideologies, and terms such as slavery, apartheid, socialism and communism in Africa, Pan-Africanism, Black Consciousness, female suicide bombers, neo-colonialism, and the psychological encounter between the colonized and colonizer. Cross-list: HIST 223.",Distribution Group I,Standard Letter,Taught in English,FREEDOM AND STRUGGLE IN MODERN AFRICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FREEDOM & STRUGGLE MOD AFRICA
AAAS 225,225,Seminar,,3,AAAS,African & African Amer Studies,"The arrival of the Portuguese in Africa in the 15th century marked the beginning of European oceanic expansion, a movement that profoundly shaped the modern world. This expansion introduced dichotomous dynamics of center and periphery, along with new global relations rooted in racial hierarchies, often resulting in violent consequences for African peoples. Despite these oppressive systems, resistant voices have emerged and continue to grow as African people strive to redefine Blackness. This seminar covers key topics such as the Transatlantic Slave Trade, the development of African diasporic communities, colonialism in Africa, and Afro-Atlantic intellectual and ideological exchanges. We will also explore contemporary representations and mobilizations of Black culture and identity. Through critical readings and engaging discussions of prose, poetry, film, and music, we will analyze imperialism's history and enduring legacies.",Distribution Group I,Standard Letter,Taught in English,"DYNAMICS OF EMPIRE: PORTUGUESE, AFRICAN, AND BRAZILIAN INTERCONNECTIONS",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DYNAMICS OF EMPIRE
AAAS 238,238,"Independent Study, Internship/Practicum, Laboratory, Lecture, Lecture/Laboratory, Seminar",,1 TO 4,AAAS,African & African Amer Studies,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
AAAS 245,245,Lecture,,3,AAAS,African & African Amer Studies,"Broadly, this course is at once a colonial history of Latin America and the Caribbean that concerns itself with the role of Africans and the making of Blackness across the region.  The course treats Africa, Iberia, and the Americas in dialogue, running from the early fifteenth century through the
Haitian Revolution.  This CAAAS course addresses slavery, freedom and the question of Black life vis-a-vis indigeneity in the early Americas as a central theme and point of departure. Cross-list: HIST 245.",,Standard Letter,Taught in English,"RACE, RESISTANCE, AND REVOLUTION: BLACKS AND BLACKNESS IN THE MAKING OF LATIN AMERICA AND THE CARIBB",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"RACE, RESISTANCE, & REVOLUTION"
